AGE,QX
1.0,0.0002
2.0,0.0002
3.0,0.0002
4.0,0.0002
5.0,0.0001
6.0,0.0001
7.0,0.0001
8.0,0.0001
9.0,0.0001
10.0,0.0001
11.0,0.0001
12.0,0.0001
13.0,0.0001
14.0,0.0001
15.0,0.0004
16.0,0.0004
17.0,0.0004
18.0,0.0004
19.0,0.0004
20.0,0.0006
21.0,0.0006
22.0,0.0006
23.0,0.0006
24.0,0.0006
25.0,0.0008
26.0,0.0008
27.0,0.0008
28.0,0.0008
29.0,0.0008
30.0,0.001
31.0,0.001
32.0,0.001
33.0,0.001
34.0,0.001
35.0,0.0013
36.0,0.0013
37.0,0.0013
38.0,0.0013
39.0,0.0013
40.0,0.0016
41.0,0.0016
42.0,0.0016
43.0,0.0016
44.0,0.0016
45.0,0.0021
46.0,0.0021
47.0,0.0021
48.0,0.0021
49.0,0.0021
50.0,0.0031
51.0,0.0031
52.0,0.0031
53.0,0.0031
54.0,0.0031
55.0,0.0048
56.0,0.0048
57.0,0.0048
58.0,0.0048
59.0,0.0048
60.0,0.0073
61.0,0.0073
62.0,0.0073
63.0,0.0073
64.0,0.0073
65.0,0.0112
66.0,0.0112
67.0,0.0112
68.0,0.0112
69.0,0.0112
70.0,0.0173
71.0,0.0173
72.0,0.0173
73.0,0.0173
74.0,0.0173
75.0,0.0284
76.0,0.0284
77.0,0.0284
78.0,0.0284
79.0,0.0284
80.0,0.0492
81.0,0.0492
82.0,0.0492
83.0,0.0492
84.0,0.0492
85.0,0.0894
86.0,0.0894
87.0,0.0894
88.0,0.0894
89.0,0.0894
90.0,0.1958
91.0,0.1958
92.0,0.1958
93.0,0.1958
94.0,0.1958
95.0,0.1958
96.0,0.1958
97.0,0.1958
98.0,0.1958
99.0,1.0
100.0,1.0
