an_eval,TX_ACTU_INT
1.0,0.974417259502127
2.0,0.948657603542566
3.0,0.921929308338269
4.0,0.893636416761902
5.0,0.864056156290618
6.0,0.833699244767548
7.0,0.803098062709404
8.0,0.772707554211209
9.0,0.74287023741144
10.0,0.7138224117238
11.0,0.685707623518866
12.0,0.658605822513085
13.0,0.632548472809596
14.0,0.607538550563247
15.0,0.583564641395558
16.0,0.560603322933071
17.0,0.538627367853721
18.0,0.517607780549729
19.0,0.497510940288228
20.0,0.478298210485282
21.0,0.45992866591928
22.0,0.442355932076507
23.0,0.425527406656241
24.0,0.409388989159709
25.0,0.393886003913938
26.0,0.378963988608803
27.0,0.364574114067311
28.0,0.350674658899532
29.0,0.337236049620606
30.0,0.324244626924681
31.0,0.312297528811243
32.0,0.300790632759704
33.0,0.289707719111244
34.0,0.279033165835619
35.0,0.268751926510979
36.0,0.258849509115029
37.0,0.249311955597662
38.0,0.240125822206251
39.0,0.231278160535871
40.0,0.222756499277751
41.0,0.214548826640216
42.0,0.206643573417349
43.0,0.1990295966815
44.0,0.191696164076665
45.0,0.184632938690587
46.0,0.177829964484259
47.0,0.171277652258292
48.0,0.164966766136363
49.0,0.158888410546694
50.0,0.153034017683214
51.0,0.14739533542872
52.0,0.141964415723028
53.0,0.136733603359701
54.0,0.131695525195581
55.0,0.126843079757903
56.0,0.12216942723434
57.0,0.117667979831881
58.0,0.113332392490944
59.0,0.10915655394163
60.0,0.105134578089526
61.0,0.101260795718901
62.0,0.0975297465016091
63.0,0.0939361713004257
64.0,0.0904750047559831
65.0,0.0871413681468416
66.0,0.0839305625126394
67.0,0.0808380620306267
68.0,0.0778595076362482
69.0,0.0749907008787801
70.0,0.0722275980033624
71.0,0.0695663042510851
72.0,0.0670030683690913
73.0,0.0645342773229627
74.0,0.0621564512039307
75.0,0.059866238323737
76.0,0.0576604104902281
77.0,0.0555358584570253
78.0,0.0534895875408561
79.0,0.0515187134003683
80.0,0.0496204579704787
81.0,0.0477921455465236
82.0,0.0460311990126935
83.0,0.0443351362094336
84.0,0.0427015664346912
85.0,0.0411281870740788
86.0,0.0396127803552004
87.0,0.0381532102215692
88.0,0.0367474193217076
89.0,0.0353934261091876
90.0,0.0340893220495221
91.0,0.0328332689299716
92.0,0.031623496268473
93.0,0.0304582988180395
94.0,0.0293360341631125
95.0,0.028255120404479
96.0,0.0272140339294894
97.0,0.0262113072644348
98.0,0.0252455270060547
99.0,0.0243153318292604
100.0,0.0234194105682661
